media_id,rating,comment
44,1,Cheesy but enjoyable
71,2,Cheesy but enjoyable
29,1,Boring and slow paced
91,1,Not worth the hype
9,1,Best thing I watched this year
10,5,Kept me hooked throughout
36,4,Masterpiece of modern cinema
70,2,Fresh and original
74,5,Funny and entertaining
32,4,Loved every minute
25,1,Decent but could be better
85,4,Terrible ending ruined it
55,4,Mediocre at best
94,1,Overhyped trash
84,1,Great storyline and acting
52,3,Decent but could be better
32,2,Average at best
69,4,Very disappointing
55,2,Stunning visuals
60,2,Boring and slow paced
57,5,Decent but could be better
7,5,Absolutely loved it
12,2,Overrated in my opinion
53,4,Funny and entertaining
28,4,Great storyline and acting
22,4,Absolutely loved it
50,3,Mediocre at best
37,4,Emotional rollercoaster
94,5,Hidden gem
92,4,Highly recommended
25,3,Masterpiece of modern cinema
8,5,Feels recycled
70,1,Feels recycled
41,1,Great storyline and acting
75,4,Light hearted fun
68,2,Great storyline and acting
66,1,Brilliant direction
9,5,Boring and slow paced
87,2,Nothing special
16,5,Kept me hooked throughout
75,5,Mind blowing experience
80,1,Loved every minute
85,5,Incredible performance by the lead
67,3,Predictable plot but fun
27,3,Kept me hooked throughout
34,4,Very disappointing
86,3,Mediocre at best
41,1,Absolutely loved it
59,5,Incredible performance by the lead
13,1,Great background score
28,5,Predictable plot but fun
17,3,Boring and slow paced
32,3,Poor character development
21,4,Great background score
91,3,Not my cup of tea
84,5,Absolutely loved it
86,5,Exceeded my expectations
85,1,Very disappointing
34,1,Decent but could be better
96,5,Highly recommended
35,3,Groundbreaking stuff
27,3,Masterpiece of modern cinema
88,3,Light hearted fun
63,3,Great storyline and acting
12,4,Stunning visuals
6,1,Best thing I watched this year
99,2,Would watch again
34,2,Feels recycled
57,5,Dry and lifeless
55,5,Absolutely loved it
15,1,Emotional rollercoaster
20,5,Mind blowing experience
48,5,Weak script
19,4,Very disappointing
6,3,Solid 4 out of 5
6,3,Masterpiece of modern cinema
88,2,Hidden gem
14,3,Lost interest halfway
72,4,Not my cup of tea
96,2,Kept me hooked throughout
21,2,Loved every minute
4,2,Feels recycled
43,4,Hidden gem
95,2,Stunning visuals
21,1,Surprisingly good
5,4,Not worth the hype
26,4,Terrible ending ruined it
40,2,Not worth the hype
4,2,Nothing special
43,3,Boring and slow paced
99,3,Terrible ending ruined it
83,5,Nothing special
87,5,Best thing I watched this year
4,1,Predictable plot but fun
23,5,Predictable plot but fun
5,1,Groundbreaking stuff
56,3,Fresh and original
41,4,Groundbreaking stuff
66,1,Surprisingly good
74,2,Predictable plot but fun
6,4,Absolutely loved it
67,5,Overhyped trash
93,2,Solid 4 out of 5
56,1,Hidden gem
43,5,Fell asleep watching
85,1,Fresh and original
39,5,Exceeded my expectations
86,4,Fell asleep watching
52,3,Weak script
17,2,Loved every minute
86,4,Overhyped trash
96,2,Not my cup of tea
73,3,Nothing special
71,1,Exceeded my expectations
37,2,Too long and dragged
75,5,Once is enough
42,4,Instant classic
57,2,Light hearted fun
61,2,Hidden gem
11,3,Light hearted fun
85,5,Best thing I watched this year
12,2,Overhyped trash
40,2,Average at best
19,1,Mind blowing experience
32,4,Not my cup of tea
99,1,Mediocre at best
54,5,Average at best
92,4,Dark and intense
52,2,Highly recommended
84,1,Gripping from start to finish
99,1,Lost interest halfway
55,2,Brilliant direction
90,5,Mediocre at best
7,5,Kept me hooked throughout
16,4,Very disappointing
60,5,Weak script
77,3,Gripping from start to finish
57,5,Fresh and original
65,4,Weak script
58,2,Feels recycled
61,4,Predictable plot but fun
97,2,Would watch again
36,5,Dark and intense
81,2,Stunning visuals
57,1,Dry and lifeless
37,2,Stunning visuals
43,3,Great background score
11,2,Highly recommended
30,4,Emotional rollercoaster
20,2,Boring and slow paced
54,4,Best thing I watched this year
70,4,Loved every minute
8,2,Loved every minute
50,5,Emotional rollercoaster
3,5,Surprisingly good
62,1,Terrible ending ruined it
39,4,Loved every minute
69,5,Groundbreaking stuff
29,4,Not worth the hype
35,4,Dark and intense
4,4,Best thing I watched this year
86,4,Fresh and original
22,4,Very disappointing
80,5,Total waste of time
51,5,Incredible performance by the lead
85,1,Must watch for everyone
83,4,Very disappointing
60,2,Great storyline and acting
34,4,Fell asleep watching
28,4,Fell asleep watching
44,4,Stunning visuals
97,4,Predictable plot but fun
11,4,Total waste of time
96,5,Great storyline and acting
45,2,Once is enough
9,1,Gripping from start to finish
4,2,Average at best
3,5,Highly recommended
31,2,Funny and entertaining
86,1,Incredible performance by the lead
28,4,Emotional rollercoaster
33,3,Overrated in my opinion
78,5,Feels recycled
92,1,Lost interest halfway
21,3,Decent but could be better
75,1,Exceeded my expectations
74,4,Nothing special
92,2,Boring and slow paced
76,2,Decent but could be better
90,3,Overhyped trash
77,1,Incredible performance by the lead
6,3,Great background score
55,3,Boring and slow paced
65,3,Absolutely loved it
54,4,Decent but could be better
56,3,Would watch again
59,2,Too long and dragged
23,5,Once is enough
35,5,Great background score
100,4,Mediocre at best
56,5,Stunning visuals
42,2,Must watch for everyone
36,4,Kept me hooked throughout
97,4,Incredible performance by the lead
79,4,Best thing I watched this year
4,4,Fell asleep watching
24,4,Masterpiece of modern cinema
46,3,Best thing I watched this year
36,5,Emotional rollercoaster
36,5,Absolutely loved it
67,2,Must watch for everyone
31,4,Dark and intense
72,2,Emotional rollercoaster
61,4,Instant classic
3,1,Poor character development
29,4,Emotional rollercoaster
32,3,Hidden gem
75,3,Funny and entertaining
71,5,Terrible ending ruined it
55,5,Best thing I watched this year
46,4,Stunning visuals
40,3,Not worth the hype
16,2,Fell asleep watching
16,5,Gripping from start to finish
89,2,Average at best
28,4,Stunning visuals
93,5,Gripping from start to finish
68,5,Poor character development
13,2,Poor character development
30,3,Brilliant direction
39,1,Dry and lifeless
69,2,Stunning visuals
6,1,Weak script
38,2,Would watch again
97,4,Decent but could be better
2,5,Poor character development
61,4,Instant classic
44,2,Great storyline and acting
33,4,One of the best I have seen
9,4,Dark and intense
10,5,Would watch again
88,1,Highly recommended
20,5,Exceeded my expectations
11,2,One of the best I have seen
72,4,Groundbreaking stuff
77,5,Not worth the hype
100,5,Surprisingly good
58,4,Exceeded my expectations
76,4,Exceeded my expectations
73,5,Great storyline and acting
79,1,Gripping from start to finish
27,2,Predictable plot but fun
85,1,Overrated in my opinion
31,2,Weak script
10,2,Absolutely loved it
53,4,Emotional rollercoaster
77,4,Poor character development
5,2,Poor character development
91,3,Emotional rollercoaster
59,1,Overhyped trash
30,3,Would watch again
76,2,Too long and dragged
15,5,Not worth the hype
83,2,Stunning visuals
19,1,Great storyline and acting
22,3,Groundbreaking stuff
96,5,Poor character development
57,1,Mediocre at best
89,3,Emotional rollercoaster
52,3,Light hearted fun
70,4,Instant classic
11,5,Mind blowing experience
56,3,Groundbreaking stuff
33,1,Must watch for everyone
30,5,Cheesy but enjoyable
3,3,Incredible performance by the lead
6,2,Funny and entertaining
67,4,Stunning visuals
24,5,Too long and dragged
82,4,Must watch for everyone
61,3,Loved every minute
43,3,Hidden gem
14,2,Best thing I watched this year
53,4,Poor character development
85,4,Gripping from start to finish
71,1,Mediocre at best
12,3,Predictable plot but fun
42,1,Lost interest halfway
52,5,Absolutely loved it
85,5,Mediocre at best
53,1,Average at best
67,3,Not my cup of tea
97,4,Would watch again
57,1,Masterpiece of modern cinema
35,5,Very disappointing
37,4,Emotional rollercoaster
63,1,Total waste of time
81,5,Kept me hooked throughout
91,2,Exceeded my expectations
71,1,Weak script
53,1,Not worth the hype
15,4,One of the best I have seen
83,2,Dark and intense
92,3,Light hearted fun
91,3,Loved every minute
62,4,Kept me hooked throughout
59,5,Highly recommended
50,2,Groundbreaking stuff
66,2,Boring and slow paced
36,4,Best thing I watched this year
65,3,Absolutely loved it
37,3,Cheesy but enjoyable
75,4,Highly recommended
58,5,Funny and entertaining
45,3,Weak script
98,5,Surprisingly good
59,3,Average at best
90,2,Incredible performance by the lead
50,2,Lost interest halfway
53,1,Fell asleep watching
96,4,Dry and lifeless
49,4,Hidden gem
84,2,Dark and intense
5,2,Light hearted fun
76,3,Decent but could be better
57,1,Thought provoking
59,1,Fresh and original
19,4,Once is enough
20,1,Funny and entertaining
34,3,Not my cup of tea
89,4,Once is enough
11,3,Overhyped trash
69,4,Fell asleep watching
81,4,Great background score
5,5,Boring and slow paced
31,3,Not worth the hype
96,1,Too long and dragged
13,1,Instant classic
22,3,Total waste of time
6,3,Great storyline and acting
38,3,Solid 4 out of 5
56,2,Kept me hooked throughout
68,4,Incredible performance by the lead
88,2,Overrated in my opinion
23,1,Not my cup of tea
49,5,Overhyped trash
31,4,Cheesy but enjoyable
19,2,Mediocre at best
82,3,Mediocre at best
33,1,Mediocre at best
37,5,Overrated in my opinion
10,4,Terrible ending ruined it
76,3,Would watch again
55,3,Mediocre at best
39,2,Surprisingly good
62,1,Kept me hooked throughout
49,5,Terrible ending ruined it
74,3,Emotional rollercoaster
38,1,Hidden gem
51,3,Absolutely loved it
73,1,Groundbreaking stuff
96,4,Poor character development
100,2,Groundbreaking stuff
46,2,Would watch again
25,5,Predictable plot but fun
87,2,Would watch again
13,1,Exceeded my expectations
57,1,Cheesy but enjoyable
47,2,Must watch for everyone
38,3,Feels recycled
54,2,Average at best
17,5,Solid 4 out of 5
68,5,Stunning visuals
22,3,Funny and entertaining
38,3,One of the best I have seen
60,1,Highly recommended
97,2,Overhyped trash
93,4,Weak script
47,1,Nothing special
2,3,Great background score
16,4,Solid 4 out of 5
87,3,Cheesy but enjoyable
49,3,Decent but could be better
87,2,Funny and entertaining
4,5,Weak script
42,5,Not worth the hype
83,1,Would watch again
60,3,Once is enough
53,1,Very disappointing
6,1,Exceeded my expectations
64,1,Decent but could be better
31,5,Very disappointing
50,4,Solid 4 out of 5
86,5,Loved every minute
76,2,Loved every minute
84,1,Dark and intense
79,4,Stunning visuals
5,3,Masterpiece of modern cinema
57,4,Kept me hooked throughout
47,1,Overhyped trash
48,5,Once is enough
46,1,Nothing special
36,2,One of the best I have seen
59,1,Hidden gem
28,5,Total waste of time
7,3,Kept me hooked throughout
17,5,Masterpiece of modern cinema
9,5,Masterpiece of modern cinema
76,2,Not worth the hype
43,2,Groundbreaking stuff
1,3,Highly recommended
17,5,Predictable plot but fun
23,1,Hidden gem
4,2,Absolutely loved it
46,2,Cheesy but enjoyable
42,1,Brilliant direction
34,1,Very disappointing
95,4,Thought provoking
15,1,Funny and entertaining
58,3,Light hearted fun
76,1,Instant classic
65,2,Not my cup of tea
6,5,Exceeded my expectations
59,1,Great storyline and acting
62,4,Too long and dragged
88,1,Dark and intense
92,4,Boring and slow paced
11,3,Groundbreaking stuff
19,1,Very disappointing
36,5,Would watch again
75,5,Dry and lifeless
42,4,Groundbreaking stuff
68,3,Mediocre at best
65,5,Too long and dragged
13,1,Once is enough
84,5,Fresh and original
28,4,Instant classic
30,4,Best thing I watched this year
59,4,Loved every minute
94,1,Fell asleep watching
55,3,Hidden gem
33,3,Highly recommended
88,4,Boring and slow paced
12,1,Must watch for everyone
56,1,Feels recycled
95,3,Very disappointing
72,1,Cheesy but enjoyable
72,5,Best thing I watched this year
86,1,Loved every minute
46,4,Fresh and original
7,3,Groundbreaking stuff
40,3,Decent but could be better
74,5,Masterpiece of modern cinema
20,4,Not worth the hype
14,3,Weak script
48,1,Gripping from start to finish
36,5,Not worth the hype
55,5,Lost interest halfway
80,5,Overhyped trash
83,5,Total waste of time
78,3,Total waste of time
24,3,Emotional rollercoaster
98,3,Best thing I watched this year
45,1,Brilliant direction
19,5,Hidden gem
52,1,Highly recommended
95,1,Must watch for everyone
96,5,Masterpiece of modern cinema
49,4,Mediocre at best
44,2,Solid 4 out of 5
40,3,Lost interest halfway
73,5,Must watch for everyone
7,2,Overrated in my opinion
97,5,Great storyline and acting
87,1,Stunning visuals
57,4,Dark and intense
78,4,Loved every minute
35,2,Gripping from start to finish
66,1,Terrible ending ruined it
56,1,Poor character development
87,5,Dark and intense
68,3,Mind blowing experience
29,4,Groundbreaking stuff
8,1,Masterpiece of modern cinema
39,2,Lost interest halfway
18,3,Poor character development
42,1,Absolutely loved it
64,4,Brilliant direction
17,4,Great background score
91,2,Light hearted fun
72,3,Boring and slow paced
51,1,Too long and dragged
3,4,Boring and slow paced
41,5,Too long and dragged
74,4,Dry and lifeless
82,4,Poor character development
15,4,Total waste of time
42,2,Not my cup of tea
59,3,Must watch for everyone
56,1,Kept me hooked throughout
56,5,Nothing special
68,1,Nothing special
40,3,Not worth the hype
43,2,Boring and slow paced
66,1,Thought provoking
66,2,Lost interest halfway
45,3,Fresh and original
83,2,Kept me hooked throughout
14,2,Predictable plot but fun
26,2,Groundbreaking stuff
20,1,Brilliant direction
99,4,Mediocre at best
97,5,Gripping from start to finish
75,4,Overhyped trash
73,5,Fell asleep watching
81,3,Highly recommended
57,1,Funny and entertaining
57,3,Stunning visuals
76,1,Terrible ending ruined it
65,1,Exceeded my expectations
60,4,Mind blowing experience
8,3,Poor character development
10,1,Not my cup of tea
77,5,Surprisingly good
60,5,Weak script
95,1,Instant classic
74,2,Fell asleep watching
78,4,Light hearted fun
20,1,Instant classic
14,3,Dry and lifeless
11,5,Once is enough
23,1,Kept me hooked throughout
91,4,Instant classic
68,5,Not my cup of tea
21,3,Solid 4 out of 5
37,4,Loved every minute
100,3,Overhyped trash
77,1,Would watch again
83,3,Boring and slow paced
43,1,Weak script
87,4,Poor character development
33,5,Highly recommended
43,1,Cheesy but enjoyable
85,2,Terrible ending ruined it
40,4,Very disappointing
77,1,Exceeded my expectations
72,4,Once is enough
43,2,Hidden gem
90,5,Must watch for everyone
83,4,Light hearted fun
47,1,Solid 4 out of 5
40,2,Masterpiece of modern cinema
44,4,Average at best
29,2,Highly recommended
10,3,Decent but could be better
65,5,Feels recycled
68,1,Hidden gem
44,5,Very disappointing
77,4,Highly recommended
21,2,Emotional rollercoaster
99,5,Overrated in my opinion
93,4,Mind blowing experience
53,3,Overhyped trash
93,2,Instant classic
79,3,Gripping from start to finish
96,4,Not worth the hype
69,2,Exceeded my expectations
61,2,Solid 4 out of 5
87,5,Instant classic
60,3,Lost interest halfway
49,5,Thought provoking
54,2,Average at best
78,2,Predictable plot but fun
7,4,Solid 4 out of 5
71,1,Dry and lifeless
67,1,Poor character development
11,2,Stunning visuals
58,5,Highly recommended
56,1,Not worth the hype
58,3,Total waste of time
54,1,Nothing special
65,3,Kept me hooked throughout
50,1,Solid 4 out of 5
29,1,Fell asleep watching
13,3,Highly recommended
18,1,Poor character development
61,2,Gripping from start to finish
91,4,Instant classic
79,1,Must watch for everyone
3,3,Masterpiece of modern cinema
20,5,Fresh and original
78,5,Too long and dragged
15,3,Kept me hooked throughout
39,1,Great storyline and acting
31,4,Would watch again
80,4,Boring and slow paced
15,4,Groundbreaking stuff
69,1,Would watch again
66,5,Kept me hooked throughout
92,2,Poor character development
55,1,Not my cup of tea
46,2,Incredible performance by the lead
54,2,Hidden gem
86,1,Thought provoking
47,1,Thought provoking
70,5,Light hearted fun
71,1,Surprisingly good
61,1,Would watch again
50,3,Predictable plot but fun
96,1,Terrible ending ruined it
9,3,Kept me hooked throughout
94,1,Lost interest halfway
75,3,Very disappointing
6,3,Great background score
44,2,Lost interest halfway
88,4,Emotional rollercoaster
62,2,Very disappointing
9,4,Mind blowing experience
38,2,Mind blowing experience
26,1,Fell asleep watching
40,5,Nothing special
70,4,Predictable plot but fun
5,2,Poor character development
46,1,Once is enough
43,3,One of the best I have seen
48,4,Nothing special
96,4,Surprisingly good
44,2,Dark and intense
89,4,Solid 4 out of 5
67,3,Must watch for everyone
94,4,Must watch for everyone
56,5,Brilliant direction
70,3,Fell asleep watching
14,1,Fell asleep watching
85,3,Exceeded my expectations
58,5,Dry and lifeless
55,2,Emotional rollercoaster
57,3,Instant classic
6,3,Not my cup of tea
56,3,Would watch again
8,1,Hidden gem
82,4,Solid 4 out of 5
66,2,Total waste of time
19,5,Overhyped trash
57,1,Very disappointing
9,2,Lost interest halfway
83,3,Solid 4 out of 5
50,5,Mind blowing experience
78,2,Overhyped trash
58,3,Solid 4 out of 5
57,1,Incredible performance by the lead
18,5,Solid 4 out of 5
51,3,Once is enough
36,2,One of the best I have seen
4,2,Dark and intense
67,4,Weak script
16,3,Lost interest halfway
34,4,Masterpiece of modern cinema
79,3,Emotional rollercoaster
63,2,One of the best I have seen
18,1,Instant classic
23,4,Must watch for everyone
88,3,Hidden gem
45,1,Weak script
70,3,Exceeded my expectations
21,2,Solid 4 out of 5
66,2,One of the best I have seen
26,2,Kept me hooked throughout
64,1,Solid 4 out of 5
71,5,Solid 4 out of 5
60,5,Very disappointing
79,1,Boring and slow paced
40,4,Dry and lifeless
93,4,Thought provoking
53,4,Incredible performance by the lead
10,2,Fell asleep watching
83,1,Instant classic
60,5,Terrible ending ruined it
17,5,Would watch again
76,2,Lost interest halfway
17,4,Light hearted fun
8,1,Thought provoking
20,3,Overrated in my opinion
21,3,Dry and lifeless
29,3,Thought provoking
37,1,Predictable plot but fun
26,5,Stunning visuals
17,3,Not my cup of tea
69,1,Light hearted fun
83,2,Cheesy but enjoyable
75,2,Overrated in my opinion
85,5,Fresh and original
78,3,Incredible performance by the lead
6,1,Must watch for everyone
6,5,Predictable plot but fun
84,2,Lost interest halfway
74,4,Not my cup of tea
82,1,Dark and intense
81,5,Poor character development
83,3,Funny and entertaining
32,4,Exceeded my expectations
59,1,Emotional rollercoaster
8,2,Instant classic
54,4,Mediocre at best
27,3,Groundbreaking stuff
19,3,Dry and lifeless
41,3,Nothing special
17,3,Light hearted fun
72,1,Fell asleep watching
31,4,One of the best I have seen
35,4,Kept me hooked throughout
19,1,Great storyline and acting
38,4,Not my cup of tea
54,2,Overrated in my opinion
42,5,Fresh and original
41,2,Gripping from start to finish
21,4,Light hearted fun
60,4,Exceeded my expectations
64,1,Must watch for everyone
51,5,Mediocre at best
31,2,Cheesy but enjoyable
46,1,Great storyline and acting
37,4,Groundbreaking stuff
84,4,Poor character development
69,1,Decent but could be better
56,2,Predictable plot but fun
94,3,Gripping from start to finish
52,3,Mind blowing experience
52,1,Incredible performance by the lead
72,2,Solid 4 out of 5
71,3,Boring and slow paced
50,5,Instant classic
98,5,Stunning visuals
80,5,One of the best I have seen
17,1,Nothing special
48,3,Weak script
47,2,Average at best
78,5,Nothing special
65,1,Mind blowing experience
5,2,Dry and lifeless
43,4,Thought provoking
59,2,Groundbreaking stuff
66,2,Fell asleep watching
79,3,Overrated in my opinion
51,5,Feels recycled
39,5,Best thing I watched this year
65,5,Great background score
63,5,Exceeded my expectations
61,1,Solid 4 out of 5
43,1,Loved every minute
75,3,Fresh and original
89,1,Groundbreaking stuff
61,3,Once is enough
100,5,Incredible performance by the lead
30,1,Cheesy but enjoyable
62,2,Thought provoking
81,5,Lost interest halfway
49,2,Overhyped trash
32,1,Incredible performance by the lead
90,1,Average at best
3,4,Fell asleep watching
54,2,Loved every minute
89,2,Loved every minute
65,5,Funny and entertaining
95,1,Dry and lifeless
18,5,Masterpiece of modern cinema
72,3,Hidden gem
62,5,Surprisingly good
41,2,Mediocre at best
69,3,Great background score
46,3,Not my cup of tea
62,2,Kept me hooked throughout
36,5,Exceeded my expectations
29,3,Lost interest halfway
37,2,Emotional rollercoaster
91,4,Fell asleep watching
62,3,Weak script
93,3,Poor character development
16,5,Overhyped trash
70,4,Nothing special
45,2,Poor character development
6,3,Dry and lifeless
11,3,Instant classic
84,3,Feels recycled
62,2,Average at best
69,3,Weak script
90,3,Very disappointing
14,5,Feels recycled
76,2,Kept me hooked throughout
7,5,Not worth the hype
82,2,Great storyline and acting
13,4,Best thing I watched this year
92,4,Decent but could be better
88,2,Absolutely loved it
71,2,Loved every minute
84,4,Funny and entertaining
84,2,Gripping from start to finish
37,3,Poor character development
83,1,Lost interest halfway
12,5,Not worth the hype
69,1,Brilliant direction
54,2,Mind blowing experience
51,4,Brilliant direction
96,3,Mind blowing experience
2,3,Incredible performance by the lead
78,1,Best thing I watched this year
37,4,Once is enough
70,5,Dark and intense
18,5,Mediocre at best
35,2,One of the best I have seen
43,2,Fresh and original
59,3,Dry and lifeless
24,1,Feels recycled
44,3,Incredible performance by the lead
87,2,Brilliant direction
79,4,Too long and dragged
66,3,Must watch for everyone
52,1,Brilliant direction
18,4,Fell asleep watching
32,1,Predictable plot but fun
50,2,Instant classic
97,3,Best thing I watched this year
39,5,Fresh and original
74,1,Predictable plot but fun
84,3,Emotional rollercoaster
31,1,Hidden gem
16,4,Exceeded my expectations
21,4,Overhyped trash
65,3,Emotional rollercoaster
16,3,Solid 4 out of 5
79,2,Not worth the hype
18,4,Highly recommended
59,5,Solid 4 out of 5
54,5,Funny and entertaining
97,5,Hidden gem
28,2,Overhyped trash
97,5,Must watch for everyone
68,4,Thought provoking
91,3,Boring and slow paced
73,1,Great storyline and acting
71,5,Average at best
74,5,Highly recommended
22,3,Thought provoking
57,1,Overhyped trash
27,5,Dark and intense
12,5,Instant classic
8,4,Very disappointing
66,4,Mediocre at best
73,1,Weak script
60,3,Fresh and original
3,4,Predictable plot but fun
1,2,Cheesy but enjoyable
10,1,Too long and dragged
45,1,Great background score
8,1,Funny and entertaining
5,3,Loved every minute
24,2,Lost interest halfway
83,4,Solid 4 out of 5
49,4,Surprisingly good
49,1,Overhyped trash
85,5,Very disappointing
84,3,One of the best I have seen
23,5,Nothing special
68,2,Fresh and original
29,1,Gripping from start to finish
3,3,Mediocre at best
87,5,Too long and dragged
69,4,Not worth the hype
32,4,Terrible ending ruined it
20,3,Average at best
93,1,Mind blowing experience
85,4,Not my cup of tea
99,1,Kept me hooked throughout
27,1,Decent but could be better
77,1,Instant classic
77,1,Kept me hooked throughout
95,1,Nothing special
57,2,Great background score
28,1,Very disappointing
65,3,Not worth the hype
94,5,Fell asleep watching
74,5,Lost interest halfway
87,3,Kept me hooked throughout
39,2,Hidden gem
67,2,Loved every minute
39,3,Great storyline and acting
72,5,Feels recycled
23,4,Weak script
64,1,Terrible ending ruined it
83,4,Thought provoking
41,4,Loved every minute
20,3,Surprisingly good
24,5,Funny and entertaining
31,2,Exceeded my expectations
91,2,Mediocre at best
8,5,Loved every minute
54,5,Thought provoking
18,4,Kept me hooked throughout
33,2,Best thing I watched this year
83,1,Instant classic
48,1,Great background score
93,2,Great storyline and acting
35,4,Overhyped trash
78,5,Mind blowing experience
10,2,Gripping from start to finish
76,5,Masterpiece of modern cinema
62,2,Best thing I watched this year
39,1,Masterpiece of modern cinema
25,1,Feels recycled
97,4,Kept me hooked throughout
90,5,Dry and lifeless
27,4,Kept me hooked throughout
71,3,Lost interest halfway
37,4,Mediocre at best
69,3,Exceeded my expectations
34,3,Light hearted fun
64,4,Decent but could be better
93,4,Gripping from start to finish
41,2,Solid 4 out of 5
41,4,Mind blowing experience
73,2,Feels recycled
19,1,Predictable plot but fun
